id,start time,stop time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,rider_length,weekdays
74,12/31/2016 21:38:05,12/31/2016 21:42:33,2042,268,464,Damen Ave & Foster Ave,325,Clark St & Winnemac Ave,Subscriber,Female,1985,12:04:28 AM,Saturday
75,12/31/2016 21:39:07,12/31/2016 21:54:10,1781,903,67,Sheffield Ave & Fullerton Ave,332,Halsted St & Diversey Pkwy,Subscriber,Male,1984,12:15:03 AM,Saturday
76,12/31/2016 21:39:07,12/31/2016 22:12:27,1795,2000,463,Clark St & Berwyn Ave,463,Clark St & Berwyn Ave,Subscriber,Male,1964,12:33:20 AM,Saturday
77,12/31/2016 21:43:13,12/31/2016 21:47:23,4391,250,290,Kedzie Ave & Palmer Ct,260,Kedzie Ave & Milwaukee Ave,Subscriber,Female,1960,12:04:10 AM,Saturday
78,12/31/2016 21:44:27,12/31/2016 21:49:28,5565,301,205,Paulina St & 18th St,15,Racine Ave & 18th St,Subscriber,Male,1981,12:05:01 AM,Saturday
79,12/31/2016 21:44:36,12/31/2016 21:48:16,2363,220,205,Paulina St & 18th St,129,Blue Island Ave & 18th St,Subscriber,Male,1981,12:03:40 AM,Saturday
80,12/31/2016 21:45:43,12/31/2016 21:49:02,2211,199,210,Ashland Ave & Division St,30,Ashland Ave & Augusta Blvd,Subscriber,Male,1966,12:03:19 AM,Saturday
81,12/31/2016 21:46:54,12/31/2016 21:54:08,5616,434,60,Dayton St & North Ave,364,Larrabee St & Oak St,Subscriber,Male,1992,12:07:14 AM,Saturday
82,12/31/2016 21:47:43,12/31/2016 22:19:18,1984,1895,186,Ogden Ave & Race Ave,260,Kedzie Ave & Milwaukee Ave,Customer,Male,1986,12:31:35 AM,Saturday
83,12/31/2016 21:47:54,12/31/2016 22:03:01,3485,907,41,Federal St & Polk St,132,Wentworth Ave & 24th St,Subscriber,Male,1994,12:15:07 AM,Saturday
84,12/31/2016 21:47:59,12/31/2016 22:04:19,2215,980,342,Wolcott Ave & Polk St,50,Clark St & Congress Pkwy,Subscriber,Male,1990,12:16:20 AM,Saturday
85,12/31/2016 21:48:13,12/31/2016 21:57:31,5035,558,279,Halsted St & 35th St (*),411,Halsted St & 47th Pl,Subscriber,Male,1993,12:09:18 AM,Saturday
86,12/31/2016 21:49:11,12/31/2016 21:57:33,366,502,127,Lincoln Ave & Fullerton Ave,299,Halsted St & Roscoe St,Subscriber,Female,1960,12:08:22 AM,Saturday
87,12/31/2016 21:54:21,12/31/2016 22:12:35,1554,1094,482,Campbell Ave & Montrose Ave,260,Kedzie Ave & Milwaukee Ave,Subscriber,Female,1985,12:18:14 AM,Saturday
88,12/31/2016 21:55:25,12/31/2016 22:05:26,5522,601,49,Dearborn St & Monroe St,26,McClurg Ct & Illinois St,Subscriber,Male,1985,12:10:01 AM,Saturday
89,12/31/2016 21:56:08,12/31/2016 22:03:04,3439,416,299,Halsted St & Roscoe St,332,Halsted St & Diversey Pkwy,Subscriber,Female,1995,12:06:56 AM,Saturday
90,12/31/2016 21:58:45,12/31/2016 22:18:25,5224,1180,55,Halsted St & Roosevelt Rd,434,Ogden Ave & Roosevelt Rd,Subscriber,Male,1990,12:19:40 AM,Saturday
91,12/31/2016 22:05:00,12/31/2016 22:17:54,349,774,243,Lincoln Ave & Leavitt St,306,Sheridan Rd & Buena Ave,Subscriber,Female,1989,12:12:54 AM,Saturday
92,12/31/2016 22:05:51,12/31/2016 22:08:48,1092,177,305,Western Ave & Division St,130,Damen Ave & Division St,Subscriber,Male,1990,12:02:57 AM,Saturday
93,12/31/2016 22:07:59,01-01-2017 00:26,4460,8319,76,Lake Shore Dr & Monroe St,76,Lake Shore Dr & Monroe St,Customer,Male,1988,2:18:01 AM,Saturday
94,12/31/2016 22:08:18,01-01-2017 00:26,2956,8300,76,Lake Shore Dr & Monroe St,76,Lake Shore Dr & Monroe St,Customer,Female,1985,2:17:42 AM,Saturday
95,12/31/2016 22:16:58,12/31/2016 22:20:18,9,200,67,Sheffield Ave & Fullerton Ave,188,Greenview Ave & Fullerton Ave,Subscriber,Male,1961,12:03:20 AM,Saturday
96,12/31/2016 22:24:10,12/31/2016 22:31:58,935,468,418,Ellis Ave & 53rd St,247,Shore Dr & 55th St,Subscriber,Male,1984,12:07:48 AM,Saturday
97,12/31/2016 22:24:14,12/31/2016 22:32:11,4920,477,299,Halsted St & Roscoe St,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1989,12:07:57 AM,Saturday
98,12/31/2016 22:28:42,12/31/2016 22:38:28,3560,586,175,Wells St & Polk St,96,Desplaines St & Randolph St,Subscriber,Male,1985,12:09:46 AM,Saturday
99,12/31/2016 22:28:42,12/31/2016 22:38:16,692,574,175,Wells St & Polk St,96,Desplaines St & Randolph St,Subscriber,Male,1976,12:09:34 AM,Saturday
100,12/31/2016 22:30:19,12/31/2016 22:38:41,2890,502,264,Stetson Ave & South Water St,36,Franklin St & Jackson Blvd,Subscriber,Male,1978,12:08:22 AM,Saturday
101,12/31/2016 22:30:36,12/31/2016 22:38:08,3829,452,142,McClurg Ct & Erie St,176,Clark St & Elm St,Subscriber,Female,1979,12:07:32 AM,Saturday
102,12/31/2016 22:30:40,12/31/2016 22:38:31,1500,471,340,Clark St & Wrightwood Ave,288,Larrabee St & Armitage Ave,Subscriber,Male,1986,12:07:51 AM,Saturday
103,12/31/2016 22:30:40,12/31/2016 22:38:14,3581,454,340,Clark St & Wrightwood Ave,288,Larrabee St & Armitage Ave,Subscriber,Female,1958,12:07:34 AM,Saturday
104,12/31/2016 22:31:42,12/31/2016 23:03:04,2757,1882,52,Michigan Ave & Lake St,35,Streeter Dr & Grand Ave,Customer,Female,1985,12:31:22 AM,Saturday
105,12/31/2016 22:32:07,12/31/2016 23:02:38,534,1831,52,Michigan Ave & Lake St,35,Streeter Dr & Grand Ave,Customer,Male,1996,12:30:31 AM,Saturday
106,12/31/2016 22:32:16,12/31/2016 22:45:41,5497,805,308,Seeley Ave & Roscoe St,116,Western Ave & Winnebago Ave,Subscriber,Female,1990,12:13:25 AM,Saturday
107,12/31/2016 22:32:38,12/31/2016 22:40:12,5272,454,144,Larrabee St & Webster Ave,13,Wilton Ave & Diversey Pkwy,Subscriber,Male,1985,12:07:34 AM,Saturday
108,12/31/2016 22:35:19,12/31/2016 22:49:13,3676,834,120,Wentworth Ave & Archer Ave,129,Blue Island Ave & 18th St,Subscriber,Male,1991,12:13:54 AM,Saturday
109,12/31/2016 22:36:58,12/31/2016 22:43:01,5199,363,143,Sedgwick St & Webster Ave,138,Clybourn Ave & Division St,Subscriber,Male,1986,12:06:03 AM,Saturday
110,12/31/2016 22:37:37,12/31/2016 22:41:23,5565,226,15,Racine Ave & 18th St,205,Paulina St & 18th St,Subscriber,Male,1965,12:03:46 AM,Saturday
111,12/31/2016 22:38:12,12/31/2016 23:00:03,2993,1311,26,McClurg Ct & Illinois St,86,Eckhart Park,Subscriber,Male,1994,12:21:51 AM,Saturday
112,12/31/2016 22:43:13,12/31/2016 22:45:48,2151,155,72,Wabash Ave & 16th St,273,Michigan Ave & 18th St,Subscriber,Male,1970,12:02:35 AM,Saturday
113,12/31/2016 22:43:23,12/31/2016 22:49:57,5761,394,60,Dayton St & North Ave,365,Halsted St & North Branch St,Subscriber,Male,1990,12:06:34 AM,Saturday
114,12/31/2016 22:43:24,12/31/2016 22:45:48,4134,144,72,Wabash Ave & 16th St,273,Michigan Ave & 18th St,Subscriber,Male,1965,12:02:24 AM,Saturday
115,12/31/2016 22:53:34,12/31/2016 23:12:36,4242,1142,22,May St & Taylor St,274,Racine Ave & 15th St,Customer,Male,1986,12:19:02 AM,Saturday
116,12/31/2016 22:54:39,12/31/2016 23:10:45,5251,966,22,May St & Taylor St,137,Morgan Ave & 14th Pl,Customer,Male,1991,12:16:06 AM,Saturday
